method,path,file,line
GET,/,server/api/routers/core.py,9
POST,/admin/unmask,server/api/routers/admin.py,14
GET,/ai/analysis/{path:path},server/api/routers/image_analysis.py,76
POST,/ai/analytics/patterns,server/api/routers/ai_insights.py,112
POST,/ai/analyze,server/api/routers/image_analysis.py,14
GET,/ai/insights,server/api/routers/ai_insights.py,56
POST,/ai/insights,server/api/routers/ai_insights.py,13
GET,/ai/insights/photo/{photo_path:path},server/api/routers/ai_insights.py,34
GET,/ai/insights/stats,server/api/routers/ai_insights.py,101
GET,/ai/insights/type/{insight_type},server/api/routers/ai_insights.py,45
DELETE,/ai/insights/{insight_id},server/api/routers/ai_insights.py,86
PUT,/ai/insights/{insight_id},server/api/routers/ai_insights.py,67
GET,/albums,server/api/routers/albums.py,33
POST,/albums,server/api/routers/albums.py,18
DELETE,/albums/{album_id},server/api/routers/albums.py,94
GET,/albums/{album_id},server/api/routers/albums.py,45
PUT,/albums/{album_id},server/api/routers/albums.py,76
DELETE,/albums/{album_id}/photos,server/api/routers/albums.py,131
POST,/albums/{album_id}/photos,server/api/routers/albums.py,112
POST,/albums/{album_id}/refresh,server/api/routers/albums.py,150
GET,/api/actions/detect-apps,server/api/routers/system.py,24
GET,/api/advanced/comprehensive-stats,server/main_advanced_features.py,313
POST,/api/advanced/scan-directory,server/main_advanced_features.py,197
GET,/api/advanced/status,server/main_advanced_features.py,147
GET,/api/cache/cleanup,server/api/routers/system.py,44
POST,/api/cache/clear,server/api/routers/system.py,37
GET,/api/cache/stats,server/api/routers/system.py,30
POST,/api/clusters/{cluster_id}/merge,server/api/routers/people_photo_association.py,383
GET,/api/clusters/{cluster_id}/quality,server/api/routers/people_photo_association.py,341
GET,/api/duplicates,server/api/routers/duplicates.py,15
POST,/api/duplicates/cleanup,server/api/routers/duplicates.py,90
POST,/api/duplicates/scan,server/api/routers/duplicates.py,26
GET,/api/duplicates/stats,server/api/routers/duplicates.py,79
DELETE,/api/duplicates/{group_id},server/api/routers/duplicates.py,68
POST,/api/duplicates/{group_id}/resolve,server/api/routers/duplicates.py,56
POST,/api/faces/cluster,server/api/routers/people_photo_association.py,246
GET,/api/faces/clusters,server/api/routers/face_recognition.py,23
GET,/api/faces/clusters/hidden,server/api/routers/face_recognition.py,1047
GET,/api/faces/clusters/visible,server/api/routers/face_recognition.py,1021
DELETE,/api/faces/clusters/{cluster_id},server/api/routers/face_recognition.py,377
POST,/api/faces/clusters/{cluster_id}/hide,server/api/routers/face_recognition.py,991
POST,/api/faces/clusters/{cluster_id}/label,server/api/routers/face_recognition.py,280
GET,/api/faces/clusters/{cluster_id}/photos,server/api/routers/face_recognition.py,402
POST,/api/faces/clusters/{cluster_id}/rename,server/api/routers/face_recognition.py,1224
POST,/api/faces/clusters/{cluster_id}/unhide,server/api/routers/face_recognition.py,1006
GET,/api/faces/crop/{face_id},server/api/routers/face_recognition.py,726
GET,/api/faces/low-confidence,server/api/routers/face_recognition.py,571
POST,/api/faces/merge,server/api/routers/face_recognition.py,1158
POST,/api/faces/move,server/api/routers/face_recognition.py,1137
GET,/api/faces/person/{person_name},server/api/routers/face_recognition.py,298
GET,/api/faces/photos-with-faces,server/api/routers/face_recognition.py,689
POST,/api/faces/prototypes/recompute,server/api/routers/face_recognition.py,1243
POST,/api/faces/scan,server/api/routers/face_recognition.py,62
POST,/api/faces/scan-async,server/api/routers/face_recognition.py,186
POST,/api/faces/scan-single,server/api/routers/face_recognition.py,256
GET,/api/faces/scan-status/{job_id},server/api/routers/face_recognition.py,245
GET,/api/faces/singletons,server/api/routers/face_recognition.py,521
POST,/api/faces/split,server/api/routers/face_recognition.py,1111
GET,/api/faces/stats,server/api/routers/face_recognition.py,779
GET,/api/faces/unassigned,server/api/routers/face_recognition.py,1199
POST,/api/faces/undo,server/api/routers/face_recognition.py,1184
GET,/api/faces/unidentified,server/api/routers/face_recognition.py,461
