method,path,called_by_frontend,evidence
GET,/,no,server/api/routers/core.py:9
POST,/admin/unmask,no,server/api/routers/admin.py:14
GET,/ai/analysis/{path:path},no,server/api/routers/image_analysis.py:76
POST,/ai/analytics/patterns,no,server/api/routers/ai_insights.py:112
POST,/ai/analyze,no,server/api/routers/image_analysis.py:14
GET,/ai/insights,no,server/api/routers/ai_insights.py:56
POST,/ai/insights,no,server/api/routers/ai_insights.py:13
GET,/ai/insights/photo/{photo_path:path},no,server/api/routers/ai_insights.py:34
GET,/ai/insights/stats,no,server/api/routers/ai_insights.py:101
GET,/ai/insights/type/{insight_type},no,server/api/routers/ai_insights.py:45
DELETE,/ai/insights/{insight_id},no,server/api/routers/ai_insights.py:86
PUT,/ai/insights/{insight_id},no,server/api/routers/ai_insights.py:67
GET,/albums,no,server/api/routers/albums.py:33
POST,/albums,no,server/api/routers/albums.py:18
DELETE,/albums/{album_id},no,server/api/routers/albums.py:94
GET,/albums/{album_id},no,server/api/routers/albums.py:45
PUT,/albums/{album_id},no,server/api/routers/albums.py:76
DELETE,/albums/{album_id}/photos,no,server/api/routers/albums.py:131
POST,/albums/{album_id}/photos,no,server/api/routers/albums.py:112
POST,/albums/{album_id}/refresh,no,server/api/routers/albums.py:150
GET,/api/actions/detect-apps,yes,server/api/routers/system.py:24
GET,/api/advanced/comprehensive-stats,yes,server/main_advanced_features.py:313
POST,/api/advanced/scan-directory,yes,server/main_advanced_features.py:197
GET,/api/advanced/status,yes,server/main_advanced_features.py:147
GET,/api/cache/cleanup,no,server/api/routers/system.py:44
POST,/api/cache/clear,yes,server/api/routers/system.py:37
GET,/api/cache/stats,no,server/api/routers/system.py:30
POST,/api/clusters/{cluster_id}/merge,no,server/api/routers/people_photo_association.py:383
GET,/api/clusters/{cluster_id}/quality,no,server/api/routers/people_photo_association.py:341
GET,/api/duplicates,no,server/api/routers/duplicates.py:15
POST,/api/duplicates/cleanup,no,server/api/routers/duplicates.py:90
POST,/api/duplicates/scan,no,server/api/routers/duplicates.py:26
GET,/api/duplicates/stats,no,server/api/routers/duplicates.py:79
DELETE,/api/duplicates/{group_id},no,server/api/routers/duplicates.py:68
POST,/api/duplicates/{group_id}/resolve,no,server/api/routers/duplicates.py:56
POST,/api/faces/cluster,yes,server/api/routers/people_photo_association.py:246
GET,/api/faces/clusters,yes,server/api/routers/face_recognition.py:23
GET,/api/faces/clusters/hidden,no,server/api/routers/face_recognition.py:1047
GET,/api/faces/clusters/visible,no,server/api/routers/face_recognition.py:1021
DELETE,/api/faces/clusters/{cluster_id},no,server/api/routers/face_recognition.py:377
POST,/api/faces/clusters/{cluster_id}/hide,no,server/api/routers/face_recognition.py:991
POST,/api/faces/clusters/{cluster_id}/label,no,server/api/routers/face_recognition.py:280
GET,/api/faces/clusters/{cluster_id}/photos,yes,server/api/routers/face_recognition.py:460
POST,/api/faces/clusters/{cluster_id}/rename,no,server/api/routers/face_recognition.py:1224
POST,/api/faces/clusters/{cluster_id}/unhide,no,server/api/routers/face_recognition.py:1006
GET,/api/faces/crop/{face_id},yes,server/api/routers/face_recognition.py:855
GET,/api/faces/low-confidence,yes,server/api/routers/face_recognition.py:571
POST,/api/faces/merge,no,server/api/routers/face_recognition.py:1158
POST,/api/faces/move,no,server/api/routers/face_recognition.py:1137
GET,/api/faces/person/{person_name},yes,server/api/routers/face_recognition.py:356
GET,/api/faces/photos-with-faces,no,server/api/routers/face_recognition.py:689
POST,/api/faces/prototypes/recompute,no,server/api/routers/face_recognition.py:1243
POST,/api/faces/scan,no,server/api/routers/face_recognition.py:62
POST,/api/faces/scan-async,yes,server/api/routers/face_recognition.py:186
POST,/api/faces/scan-single,yes,server/api/routers/face_recognition.py:310
GET,/api/faces/scan-status/{job_id},yes,server/api/routers/face_recognition.py:299
GET,/api/faces/singletons,yes,server/api/routers/face_recognition.py:521
POST,/api/faces/split,no,server/api/routers/face_recognition.py:1111
GET,/api/faces/stats,yes,server/api/routers/face_recognition.py:779
GET,/api/faces/unassigned,no,server/api/routers/face_recognition.py:1199
POST,/api/faces/undo,no,server/api/routers/face_recognition.py:1184
GET,/api/faces/unidentified,no,server/api/routers/face_recognition.py:461
GET,/api/faces/{detection_id}/similar,no,server/api/routers/people_photo_association.py:294
GET,/api/faces/{detection_id}/thumbnail,no,server/api/routers/people_photo_association.py:192
POST,/api/faces/{face_id}/assign,yes,server/api/routers/face_recognition.py:735
POST,/api/faces/{face_id}/confirm,no,server/api/routers/face_recognition.py:1073
POST,/api/faces/{face_id}/create-person,yes,server/api/routers/face_recognition.py:772
POST,/api/faces/{face_id}/reject,no,server/api/routers/face_recognition.py:1092
GET,/api/intent/detect,no,server/api/routers/intent.py:9
GET,/api/logs/test,no,server/api/routers/system.py:51
GET,/api/notes/search,no,server/api/routers/notes.py:61
GET,/api/notes/stats,no,server/api/routers/notes.py:94
GET,/api/people/search,no,server/api/routers/face_recognition.py:846
GET,/api/people/{person_id}/analytics,yes,server/api/routers/face_recognition.py:1039
POST,/api/photos/batch/faces/detect,no,server/api/routers/people_photo_association.py:213
GET,/api/photos/{file_path:path}/edit,no,server/api/routers/photo_edits.py:11
POST,/api/photos/{file_path:path}/edit,no,server/api/routers/photo_edits.py:21
DELETE,/api/photos/{file_path:path}/edits,no,server/api/routers/edits.py:36
GET,/api/photos/{file_path:path}/edits,no,server/api/routers/edits.py:11
POST,/api/photos/{file_path:path}/edits,no,server/api/routers/edits.py:22
DELETE,/api/photos/{file_path:path}/notes,no,server/api/routers/notes.py:44
GET,/api/photos/{file_path:path}/notes,no,server/api/routers/notes.py:15
POST,/api/photos/{file_path:path}/notes,no,server/api/routers/notes.py:26
GET,/api/photos/{file_path:path}/rating,no,server/api/routers/ratings.py:13
POST,/api/photos/{file_path:path}/rating,no,server/api/routers/ratings.py:24
GET,/api/photos/{photo_path:path}/faces,no,server/api/routers/people_photo_association.py:148
POST,/api/photos/{photo_path:path}/faces/detect,no,server/api/routers/people_photo_association.py:103
GET,/api/photos/{photo_path:path}/people,no,server/api/routers/people_photo_association.py:16
POST,/api/photos/{photo_path:path}/people,no,server/api/routers/people_photo_association.py:30
DELETE,/api/photos/{photo_path:path}/people/{person_id},no,server/api/routers/people_photo_association.py:75
GET,/api/ratings/photos/{rating},no,server/api/routers/ratings.py:44
GET,/api/ratings/stats,no,server/api/routers/ratings.py:74
GET,/api/schema,no,server/api/routers/system.py:17
POST,/api/search/count,yes,server/api/routers/semantic_search.py:19
POST,/bulk/action,no,server/api/routers/bulk_actions.py:13
GET,/bulk/can-undo/{action_id},no,server/api/routers/bulk_actions.py:73
POST,/bulk/delete,no,server/api/routers/bulk.py:53
POST,/bulk/export,no,server/api/routers/bulk.py:12
POST,/bulk/favorite,no,server/api/routers/bulk.py:100
GET,/bulk/history/{user_id},no,server/api/routers/bulk_actions.py:34
GET,/bulk/stats/{user_id},no,server/api/routers/bulk_actions.py:85
POST,/bulk/undo/{action_id},no,server/api/routers/bulk_actions.py:51
POST,/cache/clear,no,server/api/routers/cache.py:22
GET,/cache/health,no,server/api/routers/cache.py:34
GET,/cache/stats,no,server/api/routers/cache.py:10
GET,/code-splitting/api-endpoints,no,server/api/routers/code_splitting.py:180
GET,/code-splitting/chunk/{chunk_name},no,server/api/routers/code_splitting.py:27
POST,/code-splitting/chunk/{chunk_name},no,server/api/routers/code_splitting.py:49
GET,/code-splitting/config,no,server/api/routers/code_splitting.py:11
GET,/code-splitting/enabled,no,server/api/routers/code_splitting.py:69
POST,/code-splitting/enabled,no,server/api/routers/code_splitting.py:85
GET,/code-splitting/integration-guide,no,server/api/routers/code_splitting.py:163
GET,/code-splitting/performance,no,server/api/routers/code_splitting.py:128
POST,/code-splitting/performance,no,server/api/routers/code_splitting.py:104
GET,/code-splitting/performance/chunks,no,server/api/routers/code_splitting.py:147
POST,/collaborative/spaces,no,server/api/routers/collaborative_spaces.py:17
GET,/collaborative/spaces/user/{user_id},no,server/api/routers/collaborative_spaces.py:54
GET,/collaborative/spaces/{space_id},no,server/api/routers/collaborative_spaces.py:39
GET,/collaborative/spaces/{space_id}/members,no,server/api/routers/collaborative_spaces.py:101
POST,/collaborative/spaces/{space_id}/members,no,server/api/routers/collaborative_spaces.py:65
DELETE,/collaborative/spaces/{space_id}/members/{user_id},no,server/api/routers/collaborative_spaces.py:85
GET,/collaborative/spaces/{space_id}/photos,no,server/api/routers/collaborative_spaces.py:149
POST,/collaborative/spaces/{space_id}/photos,no,server/api/routers/collaborative_spaces.py:112
DELETE,/collaborative/spaces/{space_id}/photos/{photo_path:path},no,server/api/routers/collaborative_spaces.py:133
GET,/collaborative/spaces/{space_id}/photos/{photo_path:path}/comments,no,server/api/routers/collaborative_spaces.py:186
POST,/collaborative/spaces/{space_id}/photos/{photo_path:path}/comments,no,server/api/routers/collaborative_spaces.py:160
GET,/collaborative/spaces/{space_id}/stats,no,server/api/routers/collaborative_spaces.py:197
GET,/collections/smart,no,server/api/routers/smart_collections.py:36
